Draft year,Round,Pick,Player,Position,College,Conference
2009,1,1,Matthew Stafford,QB,Georgia,SEC
2009,1,2,Jason Smith,OT,Baylor,Big 12
2009,1,3,Tyson Jackson,DE,LSU,SEC
2009,1,4,Aaron Curry,LB,Wake Forest,ACC
2009,1,5,Mark Sanchez,QB,USC,Pac-10
2009,1,6,Andre Smith,OT,Alabama,SEC
2009,1,7,Darrius Heyward-Bey,WR,Maryland,ACC
2009,1,8,Eugene Monroe,OT,Virginia,ACC
2009,1,9,B. J. Raji,DT,Boston College,ACC
2009,1,10,Michael Crabtree,WR,Texas Tech,Big 12
2009,1,11,Aaron Maybin,DE,Penn State,Big Ten
2009,1,12,Knowshon Moreno,RB,Georgia,SEC
2009,1,13,Brian Orakpo,DE,Texas,Big 12
2009,1,14,Malcolm Jenkins,CB,Ohio State,Big Ten
2009,1,15,Brian Cushing,LB,USC,Pac-10
2009,1,16,Larry English,DE,NIU,MAC
2009,1,17,Josh Freeman,QB,Kansas State,Big 12
2009,1,18,Robert Ayers,DE,Tennessee,SEC
2009,1,19,Jeremy Maclin,WR,Missouri,Big 12
2009,1,20,Brandon Pettigrew,TE,Oklahoma State,Big 12
2009,1,21,Alex Mack,C,California,Pac-10
2009,1,22,Percy Harvin,WR,Florida,SEC
2009,1,23,Michael Oher,OT,Ole Miss,SEC
2009,1,24,Peria Jerry,DT,Ole Miss,SEC
2009,1,25,Vontae Davis,CB,Illinois,Big Ten
2009,1,26,Clay Matthews,LB,USC,Pac-10
2009,1,27,Donald Brown,RB,Connecticut,Big East
2009,1,28,Eric Wood,C,Louisville,Big East
2009,1,29,Hakeem Nicks,WR,North Carolina,ACC
2009,1,30,Kenny Britt,WR,Rutgers,Big East
2009,1,31,Beanie Wells,RB,Ohio State,Big Ten
2009,1,32,Ziggy Hood,DT,Missouri,Big 12
2010,1,1,Sam Bradford ,QB,Oklahoma,Big 12
2010,1,2,Ndamukong Suh ,DT,Nebraska,Big 12
2010,1,3,Gerald McCoy ,DT,Oklahoma,Big 12
2010,1,4,Trent Williams ,OT,Oklahoma,Big 12
2010,1,5,Eric Berry ,S,Tennessee,SEC
2010,1,6,Russell Okung ,OT,Oklahoma State,Big 12
2010,1,7,Joe Haden ,CB,Florida,SEC
2010,1,8,Rolando McClain ,LB,Alabama,SEC
2010,1,9,C. J. Spiller ,RB,Clemson,ACC
2010,1,10,Tyson Alualu ,DT,California,Pac-10
2010,1,11,Anthony Davis ,OT,Rutgers,Big East
2010,1,12,Ryan Mathews ,RB,Fresno State,WAC
2010,1,13,Brandon Graham ,DE,Michigan,Big Ten
2010,1,14,Earl Thomas ,S,Texas,Big 12
2010,1,15,Jason Pierre-Paul ,DE,South Florida,Big East
2010,1,16,Derrick Morgan ,DE,Georgia Tech,ACC
2010,1,17,Mike Iupati ,G,Idaho,WAC
2010,1,18,Maurkice Pouncey ,C,Florida,SEC
2010,1,19,Sean Weatherspoon ,LB,Missouri,Big 12
2010,1,20,Kareem Jackson ,CB,Alabama,SEC
2010,1,21,Jermaine Gresham ,TE,Oklahoma,Big 12
2010,1,22,Demaryius Thomas ,WR,Georgia Tech,ACC
2010,1,23,Bryan Bulaga ,OT,Iowa,Big Ten
2010,1,24,Dez Bryant ,WR,Oklahoma State,Big 12
2010,1,25,Tim Tebow ,QB,Florida,SEC
2010,1,26,Dan Williams ,DT,Tennessee,SEC
2010,1,27,Devin McCourty ,CB,Rutgers,Big East
2010,1,28,Jared Odrick ,DT,Penn State,Big Ten
2010,1,29,Kyle Wilson ,CB,Boise State,WAC
2010,1,30,Jahvid Best ,RB,California,Pac-10
2010,1,31,Jerry Hughes ,DE,TCU,MWC
2010,1,32,Patrick Robinson ,CB,Florida State,ACC
2011,1,1,Cam Newton,QB,Auburn,SEC
2011,1,2,Von Miller,LB,Texas A&M,Big 12
2011,1,3,Marcell Dareus,DT,Alabama,SEC
2011,1,4,A. J. Green,WR,Georgia,SEC
2011,1,5,Patrick Peterson,CB,LSU,SEC
2011,1,6,Julio Jones,WR,Alabama,SEC
2011,1,7,Aldon Smith,LB,Missouri,Big 12
2011,1,8,Jake Locker,QB,Washington,Pac-10
2011,1,9,Tyron Smith,OT,USC,Pac-10
2011,1,10,Blaine Gabbert,QB,Missouri,Big 12
2011,1,11,J. J. Watt,DE,Wisconsin,Big Ten
2011,1,12,Christian Ponder,QB,Florida State,ACC
2011,1,13,Nick Fairley,DT,Auburn,SEC
2011,1,14,Robert Quinn,DE,North Carolina,ACC
2011,1,15,Mike Pouncey,C,Florida,SEC
2011,1,16,Ryan Kerrigan,DE,Purdue,Big Ten
2011,1,17,Nate Solder,OT,Colorado,Big 12
2011,1,18,Corey Liuget,DT,Illinois,Big Ten
2011,1,19,Prince Amukamara,CB,Nebraska,Big 12
